Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-January-2021,719.25,725.00,716.85,718.25,720.568298027757487216,1369,237,986458.00,1289,94.16,8.15,-1.00
6-January-2021,722.00,726.20,717.30,719.85,720.611356932153392330,1356,132,977149.00,1142,84.22,8.90,-2.15
5-January-2021,720.00,727.15,718.90,720.75,721.086156824782187802,1033,118,744882.00,948,91.77,8.25,0.75
4-January-2021,727.15,732.75,715.25,721.10,723.366342648845686512,1646,227,1190661.00,1472,89.43,17.50,-6.05
1-January-2021,730.00,733.00,718.00,720.00,725.011764705882352941,1445,131,1047642.00,1143,79.10,15.00,-10.00
31-December-2020,724.30,736.00,723.00,731.00,732.019253910950661853,831,28,608308.00,750,90.25,13.00,6.70
30-December-2020,730.40,730.40,713.85,719.30,719.866529774127310061,487,136,350575.00,413,84.80,16.55,-11.10
29-December-2020,730.85,732.85,726.15,726.85,729.450216450216450216,231,63,168503.00,205,88.74,6.70,-4.00
28-December-2020,749.95,749.95,726.05,729.50,733.629597946963216424,1169,198,857613.00,666,56.97,23.90,-20.45
24-December-2020,732.00,738.45,720.00,722.80,726.812324929971988795,1071,211,778416.00,919,85.81,18.45,-9.20
23-December-2020,714.00,734.25,710.00,729.25,720.810928961748633879,915,126,659542.00,580,63.39,24.25,15.25
22-December-2020,712.10,714.00,696.85,699.90,704.085854456255110384,1223,205,861097.00,937,76.61,17.15,-12.20
21-December-2020,730.00,739.95,707.15,709.20,720.453425154041319318,2759,279,1987731.00,2474,89.67,32.80,-20.80
18-December-2020,754.00,754.00,720.15,729.90,732.587490692479523454,1343,207,983865.00,1209,90.02,33.85,-24.10
17-December-2020,739.15,741.60,734.50,738.55,738.616493194555644515,1249,160,922532.00,890,71.26,7.10,-0.60
16-December-2020,748.25,748.25,718.75,730.65,731.513305322128851540,2856,435,2089202.00,2274,79.62,29.50,-17.60
15-December-2020,745.00,757.00,730.00,730.30,736.244964028776978417,2780,642,2046761.00,2358,84.82,27.00,-14.70
14-December-2020,750.00,754.70,740.25,748.65,746.813304047693755883,3187,381,2380094.00,2668,83.72,14.45,-1.35
11-December-2020,725.45,742.00,725.45,731.40,735.195876288659793814,1843,236,1354966.00,1298,70.43,16.55,5.95
10-December-2020,720.00,734.00,710.00,726.70,726.588859416445623342,754,155,547848.00,521,69.10,24.00,6.70
9-December-2020,750.00,750.80,710.00,722.70,730.186694776294214101,4269,601,3117167.00,3115,72.97,40.80,-27.30
8-December-2020,760.00,760.00,731.10,743.25,742.619328226281673541,1697,287,1260225.00,1136,66.94,28.90,-16.75
7-December-2020,730.00,800.00,730.00,741.25,757.500270270270270270,7400,627,5605502.00,4320,58.38,70.00,11.25
4-December-2020,705.00,710.45,696.10,708.35,704.262059973924380704,767,71,540169.00,577,75.23,14.35,3.35
3-December-2020,707.50,710.00,700.30,704.70,704.144736842105263157,684,67,481635.00,549,80.26,9.70,-2.80
2-December-2020,703.55,707.85,695.10,700.50,699.827762039660056657,3530,244,2470392.00,999,28.30,12.75,-3.05
1-December-2020,696.00,726.15,695.00,706.05,702.898025134649910233,2785,202,1957571.00,1374,49.34,31.15,10.05
27-November-2020,701.80,701.80,686.90,691.00,691.989711934156378600,486,54,336307.00,379,77.98,14.90,-10.80
26-November-2020,691.05,701.05,687.00,688.15,691.858585858585858585,1584,106,1095904.00,915,57.77,14.05,-2.90
25-November-2020,695.05,704.00,676.95,694.20,694.796000000000000000,1250,88,868495.00,866,69.28,27.05,-0.85
24-November-2020,707.50,711.00,698.25,700.00,705.397129186602870813,627,92,442284.00,613,97.77,12.75,-7.50
23-November-2020,767.95,767.95,686.95,700.80,706.021505376344086021,465,26,328300.00,368,79.14,81.00,-67.15
20-November-2020,735.20,735.20,690.10,702.00,699.990243902439024390,205,16,143498.00,86,41.95,45.10,-33.20
19-November-2020,702.45,713.30,699.00,699.75,703.963235294117647058,544,57,382956.00,344,63.24,14.30,-2.70
18-November-2020,699.95,719.95,699.80,703.00,706.400000000000000000,495,21,349668.00,172,34.75,20.15,3.05
17-November-2020,720.00,738.25,696.00,696.25,712.145999064108563406,2137,196,1521856.00,824,38.56,42.25,-23.75
14-November-2020,715.00,784.00,685.40,696.95,700.146478873239436619,710,56,497104.00,560,78.87,98.60,-18.05
13-November-2020,684.90,690.00,675.15,675.15,684.263440860215053763,186,42,127273.00,171,91.94,14.85,-9.75
12-November-2020,671.70,694.85,670.55,677.95,684.706976744186046511,215,76,147212.00,190,88.37,24.30,6.25
11-November-2020,707.85,709.00,674.95,684.00,688.147540983606557377,61,14,41977.00,44,72.13,34.05,-23.85
10-November-2020,685.05,694.00,670.00,672.30,679.700934579439252336,214,63,145456.00,130,60.75,24.00,-12.75
9-November-2020,692.50,693.00,684.30,684.30,691.083870967741935483,155,9,107118.00,155,100.00,8.70,-8.20
6-November-2020,673.20,699.95,670.00,687.10,685.313397129186602870,836,25,572922.00,105,12.56,29.95,13.90
5-November-2020,680.00,689.95,670.00,678.45,684.222222222222222222,99,28,67738.00,92,92.93,19.95,-1.55
4-November-2020,687.25,689.00,675.15,677.00,680.880597014925373134,67,13,45619.00,67,100.00,13.85,-10.25
3-November-2020,690.00,695.00,675.35,677.20,683.391666666666666666,480,71,328028.00,169,35.21,19.65,-12.80
2-November-2020,674.35,682.00,674.35,680.70,680.847761194029850746,335,60,228084.00,335,100.00,7.65,6.35
30-October-2020,718.00,729.50,680.00,693.70,709.440579710144927536,345,73,244757.00,278,80.58,49.50,-24.30
29-October-2020,704.95,721.00,680.00,702.55,705.210498268052224886,3753,299,2646655.00,2186,58.25,41.00,-2.40
28-October-2020,720.00,834.45,719.40,722.40,745.685256764218663721,3622,416,2700872.00,2155,59.50,115.05,2.40
27-October-2020,651.00,699.00,651.00,695.40,690.885819521178637200,543,56,375151.00,529,97.42,48.00,44.40
26-October-2020,660.00,668.50,655.00,668.50,656.969230769230769230,325,26,213515.00,300,92.31,13.50,8.50
23-October-2020,688.25,688.25,653.65,658.00,659.981481481481481481,270,28,178195.00,230,85.19,34.60,-30.25
22-October-2020,665.00,665.00,656.00,661.70,660.934579439252336448,107,42,70720.00,70,65.42,9.00,-3.30
21-October-2020,716.25,716.25,660.00,660.00,667.415676959619952494,421,30,280982.00,260,61.76,56.25,-56.25
20-October-2020,662.50,662.50,662.50,662.50,662.500000000000000000,2,1,1325.00,2,100.00,0.00,0.00
19-October-2020,665.00,690.00,650.00,660.05,654.571428571428571428,210,26,137460.00,188,89.52,40.00,-4.95
16-October-2020,673.55,673.95,651.15,664.20,666.526881720430107526,279,36,185961.00,246,88.17,22.80,-9.35
15-October-2020,658.00,678.35,651.80,667.45,657.551401869158878504,321,29,211074.00,262,81.62,26.55,9.45
14-October-2020,667.00,675.00,663.00,669.85,668.553784860557768924,251,61,167807.00,217,86.45,12.00,2.85
13-October-2020,692.80,700.00,650.00,667.00,663.972850678733031674,221,20,146738.00,161,72.85,50.00,-25.80
