Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,242.00,262.00,242.00,258.55,254.062870699881376037,4215,92,1070875.00,4215,100.00,20.00,16.55
4-January-2021,247.00,251.10,240.00,250.95,249.881939329002879528,14933,190,3731487.00,14933,100.00,11.10,3.95
1-January-2021,253.00,253.30,233.10,239.15,245.521347215428691216,14311,231,3513656.00,14311,100.00,20.20,-13.85
31-December-2020,241.25,241.25,235.00,241.25,241.123200479872034124,30008,236,7235625.00,30008,100.00,6.25,0.00
30-December-2020,229.80,229.80,225.00,229.80,229.785834535834535834,16632,167,3821798.00,16632,100.00,4.80,0.00
29-December-2020,218.90,218.90,218.00,218.90,218.881894150417827298,16155,95,3536037.00,16155,100.00,0.90,0.00
28-December-2020,200.00,208.50,200.00,208.50,208.128506911181059258,7307,35,1520795.00,7307,100.00,8.50,8.50
24-December-2020,200.25,204.00,190.00,198.60,194.821240799158780231,1902,17,370550.00,1902,100.00,14.00,-1.65
23-December-2020,198.50,199.00,189.00,198.55,196.382671480144404332,831,11,163194.00,831,100.00,10.00,0.05
22-December-2020,200.00,200.00,198.50,198.60,198.841148325358851674,1045,16,207789.00,1045,100.00,1.50,-1.40
21-December-2020,200.00,205.60,198.50,199.00,199.394668959587274290,1163,14,231896.00,1163,100.00,7.10,-1.00
18-December-2020,198.00,200.00,198.00,199.90,199.946208112874779541,1134,11,226739.00,1134,100.00,2.00,1.90
17-December-2020,205.00,205.00,195.00,198.00,198.752232142857142857,1792,31,356164.00,1792,100.00,10.00,-7.00
16-December-2020,200.00,207.90,200.00,205.00,206.650040225261464199,2486,21,513732.00,2486,100.00,7.90,5.00
15-December-2020,210.00,215.00,208.00,208.00,209.063636363636363636,550,8,114985.00,550,100.00,7.00,-2.00
14-December-2020,203.05,209.50,201.40,208.95,205.793369055592766242,2986,23,614499.00,2986,100.00,8.10,5.90
11-December-2020,196.30,216.80,196.25,211.95,211.285465038249899342,7451,34,1574288.00,7451,100.00,20.55,15.65
10-December-2020,209.00,209.00,200.00,206.50,204.707387105194466196,7662,16,1568468.00,7662,100.00,9.00,-2.50
