Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,22.80,22.95,21.70,22.05,22.098605399606651171,11186,25,247195.00,10765,96.24,1.25,-0.75
4-January-2021,23.35,23.45,22.00,22.25,22.905275779376498800,2502,19,57309.00,1308,52.28,1.45,-1.10
1-January-2021,23.40,24.70,22.00,22.90,22.922327996538295110,4622,21,105947.00,3120,67.50,2.70,-0.50
31-December-2020,25.90,25.90,22.50,22.60,22.852625051674245556,9676,20,221122.00,9000,93.01,3.40,-3.30
30-December-2020,22.55,23.00,22.15,22.45,22.822546972860125260,958,12,21864.00,733,76.51,0.85,-0.10
29-December-2020,24.00,25.00,23.00,24.45,23.756170703575547866,4335,20,102983.00,3329,76.79,2.00,0.45
28-December-2020,21.30,23.95,21.30,23.45,23.393700787401574803,2667,14,62391.00,2367,88.75,2.65,2.15
24-December-2020,22.05,23.85,21.95,22.85,22.573145309625996321,8155,40,184084.00,5577,68.39,1.90,0.80
23-December-2020,21.00,22.00,20.35,20.55,20.674018756512678013,5758,29,119041.00,4003,69.52,1.65,-0.45
22-December-2020,22.85,22.85,20.20,20.25,21.861873990306946688,2476,9,54130.00,1966,79.40,2.65,-2.60
21-December-2020,21.05,22.15,20.40,20.70,21.234275822273514137,1733,16,36799.00,1733,100.00,1.75,-0.35
18-December-2020,23.35,23.35,22.00,22.10,22.162913907284768211,1510,11,33466.00,1405,93.05,1.35,-1.25
17-December-2020,23.50,23.50,21.15,23.40,22.336825766395032984,2577,14,57562.00,1448,56.19,2.35,-0.10
16-December-2020,22.70,23.95,21.05,23.00,22.966722129783693843,6010,28,138030.00,5607,93.29,2.90,0.30
15-December-2020,22.95,22.95,21.00,21.00,22.113823445926766959,3523,18,77907.00,3039,86.26,1.95,-1.95
14-December-2020,22.60,23.95,20.00,21.05,20.632859135285913528,17925,41,369844.00,14102,78.67,3.95,-1.55
11-December-2020,24.30,24.30,22.10,24.00,22.671802773497688751,1298,17,29428.00,1251,96.38,2.20,-0.30
10-December-2020,25.25,25.50,22.20,23.60,23.793833216538192011,7135,33,169769.00,6633,92.96,3.30,-1.65
9-December-2020,20.95,25.00,19.95,23.85,21.995002920371211629,15409,55,338921.00,13063,84.78,5.05,2.90
8-December-2020,21.50,22.00,19.80,21.35,19.989398065002027692,17261,32,345037.00,15996,92.67,2.20,-0.15
7-December-2020,20.50,21.50,19.80,21.45,20.385163021048287247,9692,35,197573.00,9230,95.23,1.70,0.95
4-December-2020,19.70,20.00,19.60,19.75,19.725884448969203359,3929,13,77503.00,3525,89.72,0.40,0.05
3-December-2020,19.70,20.00,19.20,19.55,19.415300546448087431,6222,30,120802.00,5775,92.82,0.80,-0.15
2-December-2020,19.70,19.95,19.30,19.90,19.451458333333333333,4800,27,93367.00,4322,90.04,0.65,0.20
1-December-2020,21.00,21.00,15.95,19.85,19.660120021822149481,7332,36,144148.00,6707,91.48,5.05,-1.15
27-November-2020,19.40,19.90,19.10,19.85,19.267542972699696663,4945,21,95278.00,4246,85.86,0.80,0.45
26-November-2020,19.40,19.95,19.40,19.40,19.418250950570342205,526,5,10214.00,510,96.96,0.55,0.00
25-November-2020,19.70,19.70,19.00,19.35,19.323476379372520735,5546,33,107168.00,4934,88.96,0.70,-0.35
24-November-2020,19.40,20.00,19.10,19.90,19.226168652612282309,4364,23,83903.00,4263,97.69,0.90,0.50
23-November-2020,19.95,19.95,19.10,19.30,19.481762009168825991,5017,26,97740.00,4725,94.18,0.85,-0.65
20-November-2020,18.80,20.00,18.80,19.50,19.449382716049382716,810,11,15754.00,730,90.12,1.20,0.70
19-November-2020,21.00,21.00,19.00,19.40,19.229544819882714325,7162,29,137722.00,5383,75.16,2.00,-1.60
18-November-2020,19.50,21.85,19.00,20.75,19.483655770513675783,4497,42,87618.00,3905,86.84,2.85,1.25
17-November-2020,19.00,19.30,19.00,19.30,19.283832569031124987,10249,35,197640.00,8650,84.40,0.30,0.30
14-November-2020,16.10,16.10,16.10,16.10,16.000000000000000000,2,1,32.00,2,100.00,0.00,0.00
13-November-2020,19.70,20.00,19.50,19.75,19.653846153846153846,1014,10,19929.00,802,79.09,0.50,0.05
12-November-2020,16.20,22.95,16.20,20.00,20.358866103739445114,1658,15,33755.00,813,49.03,6.75,3.80
11-November-2020,20.95,21.00,19.30,19.95,19.847896440129449838,1236,9,24532.00,1236,100.00,1.70,-1.00
10-November-2020,19.50,19.50,19.30,19.30,19.320000000000000000,2000,6,38640.00,2000,100.00,0.20,-0.20
9-November-2020,19.50,19.50,19.20,19.35,19.368852459016393442,2440,12,47260.00,2050,84.02,0.30,-0.15
6-November-2020,22.50,22.50,19.30,19.50,19.545709192768016297,3927,21,76756.00,3517,89.56,3.20,-3.00
5-November-2020,19.50,19.70,19.50,19.65,19.600000000000000000,2300,14,45080.00,2300,100.00,0.20,0.15
4-November-2020,19.60,19.70,19.30,19.70,19.573823339780786589,1551,14,30359.00,1500,96.71,0.40,0.10
3-November-2020,19.60,20.00,19.40,19.60,19.627104013810962451,2317,19,45476.00,2196,94.78,0.60,0.00
2-November-2020,20.00,20.00,19.25,19.75,19.544769874476987447,2390,20,46712.00,2090,87.45,0.75,-0.25
30-October-2020,22.95,22.95,15.65,19.70,19.737095222827829432,3119,28,61560.00,2765,88.65,7.30,-3.25
29-October-2020,22.45,22.45,19.20,19.50,19.606217616580310880,1930,16,37840.00,1400,72.54,3.25,-2.95
28-October-2020,19.60,20.00,19.50,19.85,19.749818181818181818,2750,13,54312.00,2675,97.27,0.50,0.25
27-October-2020,19.50,19.90,19.50,19.60,19.586363636363636363,2200,7,43090.00,2200,100.00,0.40,0.10
26-October-2020,19.50,19.95,19.00,19.15,19.448965517241379310,2900,18,56402.00,2800,96.55,0.95,-0.35
23-October-2020,19.60,19.90,19.50,19.50,19.620000000000000000,250,4,4905.00,250,100.00,0.40,-0.10
22-October-2020,19.50,20.00,19.50,19.90,19.901366353543979504,2342,9,46609.00,2342,100.00,0.50,0.40
21-October-2020,19.50,19.50,19.00,19.00,19.287958115183246073,1910,5,36840.00,1910,100.00,0.50,-0.50
20-October-2020,19.50,19.50,19.05,19.40,19.401824500434404865,2302,7,44663.00,2300,99.91,0.45,-0.10
19-October-2020,19.55,19.55,19.50,19.50,19.508000000000000000,250,2,4877.00,250,100.00,0.05,-0.05
16-October-2020,20.00,20.00,19.00,19.85,19.849673202614379084,765,5,15185.00,765,100.00,1.00,-0.15
