Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,51.50,51.50,51.50,51.50,51.500000000000000000,1000,1,51500.00,1000,100.00,0.00,0.00
1-January-2021,51.15,51.45,51.15,51.45,51.300000000000000000,2000,2,102600.00,2000,100.00,0.30,0.30
31-December-2020,48.35,49.00,48.30,49.00,48.550000000000000000,3000,3,145650.00,2000,66.67,0.70,0.65
30-December-2020,50.25,50.25,49.70,50.25,50.112500000000000000,4000,4,200450.00,4000,100.00,0.55,0.00
28-December-2020,51.95,52.30,51.95,52.30,52.170000000000000000,5000,5,260850.00,4000,80.00,0.35,0.35
24-December-2020,49.85,49.85,49.85,49.85,49.850000000000000000,5000,4,249250.00,4000,80.00,0.00,0.00
21-December-2020,47.50,47.50,47.50,47.50,47.500000000000000000,1000,1,47500.00,1000,100.00,0.00,0.00
18-December-2020,47.50,47.50,47.50,47.50,47.500000000000000000,1000,1,47500.00,1000,100.00,0.00,0.00
17-December-2020,48.00,48.05,48.00,48.05,48.016666666666666666,3000,3,144050.00,3000,100.00,0.05,0.05
14-December-2020,50.50,50.50,48.65,48.65,49.575000000000000000,2000,2,99150.00,2000,100.00,1.85,-1.85
11-December-2020,50.00,50.10,50.00,50.10,50.050000000000000000,2000,2,100100.00,2000,100.00,0.10,0.10
10-December-2020,51.50,51.50,51.50,51.50,51.500000000000000000,1000,1,51500.00,1000,100.00,0.00,0.00
8-December-2020,49.70,51.50,49.65,51.50,50.721428571428571428,7000,7,355050.00,4000,57.14,1.85,1.80
7-December-2020,51.80,52.00,49.50,51.70,51.000000000000000000,6000,6,306000.00,5000,83.33,2.50,-0.10
4-December-2020,52.80,52.80,49.45,49.60,50.675000000000000000,6000,6,304050.00,4000,66.67,3.35,-3.20
3-December-2020,50.50,51.00,50.50,50.80,50.683333333333333333,3000,3,152050.00,2000,66.67,0.50,0.30
2-December-2020,52.50,52.50,52.50,52.50,52.500000000000000000,1000,1,52500.00,1000,100.00,0.00,0.00
1-December-2020,50.00,51.40,49.40,50.50,50.166666666666666666,6000,6,301000.00,5000,83.33,2.00,0.50
25-November-2020,49.00,52.00,49.00,52.00,51.000000000000000000,3000,3,153000.00,3000,100.00,3.00,3.00
24-November-2020,48.00,51.60,48.00,50.10,50.116666666666666666,6000,6,300700.00,4000,66.67,3.60,2.10
20-November-2020,49.00,49.50,49.00,49.50,49.041666666666666666,12000,3,588500.00,12000,100.00,0.50,0.50
19-November-2020,48.05,48.15,48.00,48.15,48.066666666666666666,3000,3,144200.00,2000,66.67,0.15,0.10
18-November-2020,47.15,51.15,47.15,49.55,49.486363636363636363,11000,11,544350.00,6000,54.55,4.00,2.40
17-November-2020,49.05,54.10,48.60,48.95,49.887500000000000000,28000,27,1396850.00,20000,71.43,5.50,-0.10
14-November-2020,52.10,52.10,52.10,52.10,52.100000000000000000,2000,2,104200.00,2000,100.00,0.00,0.00
12-November-2020,56.00,56.00,54.15,54.25,54.875000000000000000,4000,4,219500.00,3000,75.00,1.85,-1.75
11-November-2020,55.00,57.30,53.45,57.30,54.914285714285714285,7000,7,384400.00,5000,71.43,3.85,2.30
10-November-2020,55.70,57.70,55.60,55.65,56.050000000000000000,5000,5,280250.00,3000,60.00,2.10,-0.05
9-November-2020,60.50,60.50,58.00,58.00,58.925000000000000000,4000,4,235700.00,3000,75.00,2.50,-2.50
6-November-2020,59.15,59.15,58.25,58.25,58.700000000000000000,2000,2,117400.00,2000,100.00,0.90,-0.90
5-November-2020,61.35,61.35,61.35,61.35,61.350000000000000000,1000,1,61350.00,1000,100.00,0.00,0.00
4-November-2020,58.30,59.25,57.60,59.25,58.485714285714285714,7000,7,409400.00,4000,57.14,1.65,0.95
3-November-2020,58.10,62.65,58.05,62.65,60.225000000000000000,6000,6,361350.00,4000,66.67,4.60,4.55
2-November-2020,60.25,67.50,58.30,63.20,62.621428571428571428,7000,6,438350.00,5000,71.43,9.20,2.95
30-October-2020,62.80,62.80,62.75,62.75,62.775000000000000000,2000,2,125550.00,2000,100.00,0.05,-0.05
29-October-2020,65.00,65.00,65.00,65.00,65.000000000000000000,1000,1,65000.00,1000,100.00,0.00,0.00
28-October-2020,68.20,68.20,68.00,68.00,68.100000000000000000,2000,2,136200.00,1000,50.00,0.20,-0.20
27-October-2020,62.50,68.75,62.50,68.75,66.565000000000000000,10000,10,665650.00,6000,60.00,6.25,6.25
26-October-2020,64.90,64.95,62.10,62.50,63.642857142857142857,7000,7,445500.00,6000,85.71,2.85,-2.40
23-October-2020,66.85,66.85,61.00,61.00,62.533333333333333333,9000,9,562800.00,6000,66.67,5.85,-5.85
22-October-2020,57.00,64.80,53.80,64.80,61.100000000000000000,16000,16,977600.00,10000,62.50,11.00,7.80
