Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,105.90,105.90,102.00,105.00,105.149419398907103825,5856,39,615755.00,5856,100.00,3.90,-0.90
4-January-2021,100.90,100.90,96.50,100.90,100.722084367245657568,806,10,81182.00,806,100.00,4.40,0.00
1-January-2021,95.80,96.10,90.15,96.10,91.769784172661870503,417,6,38268.00,417,100.00,5.95,0.30
31-December-2020,87.50,96.50,87.50,91.55,93.649849849849849849,1665,15,155927.00,1665,100.00,9.00,4.05
30-December-2020,86.25,94.35,86.25,91.95,91.955274261603375527,7110,26,653802.00,7110,100.00,8.10,5.70
29-December-2020,87.00,93.50,87.00,90.00,91.283734939759036144,1660,20,151531.00,1660,100.00,6.50,3.00
28-December-2020,91.35,91.35,83.65,91.15,91.055153350006581545,7597,23,691746.00,7597,100.00,7.70,-0.20
24-December-2020,89.40,89.40,87.00,87.00,88.000000000000000000,7,3,616.00,7,100.00,2.40,-2.40
23-December-2020,85.20,90.80,85.20,88.95,89.792888563049853372,2728,20,244955.00,2728,100.00,5.60,3.75
22-December-2020,85.00,87.90,83.00,86.50,84.928720792799345395,10999,28,934131.00,10999,100.00,4.90,1.50
21-December-2020,90.50,91.00,86.90,86.90,88.750759878419452887,987,16,87597.00,987,100.00,4.10,-3.60
18-December-2020,83.25,91.40,83.25,91.40,85.906685236768802228,1436,12,123362.00,1436,100.00,8.15,8.15
17-December-2020,82.05,87.60,82.00,87.60,86.324795081967213114,3904,17,337012.00,3904,100.00,5.60,5.55
16-December-2020,83.00,89.05,82.00,83.50,85.278042148198504418,4413,26,376332.00,4413,100.00,7.05,0.50
15-December-2020,88.00,88.10,85.10,85.10,87.460000000000000000,50,5,4373.00,50,100.00,3.00,-2.90
14-December-2020,87.50,89.95,83.05,84.00,87.152073732718894009,651,10,56736.00,651,100.00,6.90,-3.50
11-December-2020,83.05,87.15,82.45,86.75,84.819463087248322147,1490,23,126381.00,1490,100.00,4.70,3.70
