Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,281.00,291.45,279.90,289.75,286.757985975847292559,20536,1019,5888862.00,15861,77.24,11.55,8.75
4-January-2021,290.00,290.00,277.75,284.95,282.924505203019791879,4901,293,1386613.00,3389,69.15,12.25,-5.05
1-January-2021,278.00,279.55,274.20,277.10,277.422798322531452535,2623,153,727680.00,1648,62.83,5.35,-0.90
31-December-2020,274.00,282.50,273.10,276.45,277.111806256306760847,14865,843,4119267.00,6563,44.15,9.40,2.45
30-December-2020,272.00,299.00,265.90,279.10,287.454995182420869465,69537,2865,19988758.00,25054,36.03,33.10,7.10
29-December-2020,273.05,273.05,267.00,271.25,269.084756097560975609,8200,356,2206495.00,6019,73.40,6.05,-1.80
28-December-2020,261.20,277.30,261.20,273.20,271.209157526701470376,20879,1432,5662576.00,12475,59.75,16.10,12.00
24-December-2020,253.00,296.00,253.00,273.30,282.043457597338537203,138871,7320,39167657.00,52230,37.61,43.00,20.30
23-December-2020,247.65,254.00,244.00,252.20,249.546086699215860334,6759,217,1686682.00,4694,69.45,10.00,4.55
22-December-2020,238.00,241.20,231.40,239.85,237.078421322398769861,3902,282,925080.00,2987,76.55,9.80,1.85
21-December-2020,267.65,267.65,240.55,241.30,248.601123595505617977,6052,305,1504534.00,5576,92.13,27.10,-26.35
18-December-2020,257.30,258.85,253.55,257.10,256.217466121746612174,4649,458,1191155.00,3628,78.04,5.30,-0.20
17-December-2020,264.15,264.45,259.05,260.90,263.401878398418190805,8092,398,2131448.00,6432,79.49,5.40,-3.25
16-December-2020,267.45,268.00,261.65,264.45,265.277596815056098443,2763,200,732962.00,1797,65.04,6.35,-3.00
15-December-2020,282.80,282.80,263.00,266.65,266.940343230727322255,3671,207,979938.00,3299,89.87,19.80,-16.15
14-December-2020,265.05,275.00,260.35,272.70,268.617581602373887240,5392,351,1448386.00,4052,75.15,14.65,7.65
11-December-2020,278.00,278.00,266.15,267.60,268.189062113338282603,4041,252,1083752.00,2537,62.78,11.85,-10.40
10-December-2020,278.00,278.00,264.35,270.05,268.344328965205603253,2213,149,593846.00,1610,72.75,13.65,-7.95
9-December-2020,285.95,285.95,269.30,272.20,273.581782351653164002,13701,445,3748344.00,11260,82.18,16.65,-13.75
8-December-2020,284.90,288.90,272.00,278.70,280.161303099316764036,10099,751,2829349.00,4274,42.32,16.90,-6.20
7-December-2020,272.70,288.00,272.55,278.75,280.635273693918515705,18433,1380,5172950.00,11471,62.23,15.45,6.05
4-December-2020,255.90,279.70,255.00,273.90,271.981591578488054979,36668,3184,9973021.00,28778,78.48,24.70,18.00
3-December-2020,258.00,258.00,252.95,254.80,256.383436582980110857,3067,274,786328.00,2811,91.65,5.05,-3.20
2-December-2020,261.90,261.90,251.60,254.30,253.651259413139444300,3851,356,976811.00,3165,82.19,10.30,-7.60
1-December-2020,253.55,261.60,253.30,258.05,258.803368966634272756,3087,361,798926.00,1920,62.20,8.30,4.50
27-November-2020,253.95,264.00,247.10,254.35,257.831921289969937141,7318,711,1886814.00,2472,33.78,16.90,0.40
26-November-2020,240.10,251.00,240.10,246.50,247.424834874504623513,3785,483,936503.00,2355,62.22,10.90,6.40
25-November-2020,239.00,248.80,239.00,243.25,243.693315989593756253,9994,643,2435471.00,8298,83.03,9.80,4.25
24-November-2020,241.90,242.00,237.35,239.25,239.488042947779404587,2049,100,490711.00,1906,93.02,4.65,-2.65
23-November-2020,242.95,243.35,235.20,241.05,241.166908563134978229,6201,642,1495476.00,4010,64.67,8.15,-1.90
20-November-2020,238.15,238.50,233.90,238.10,237.640253565768621236,631,156,149951.00,509,80.67,4.60,-0.05
19-November-2020,233.50,240.20,232.30,237.65,236.277599633531836921,4366,326,1031588.00,2774,63.54,7.90,4.15
18-November-2020,240.95,240.95,231.20,236.55,236.126523803413319645,7793,486,1840134.00,5097,65.40,9.75,-4.40
17-November-2020,242.05,244.60,237.85,241.30,241.264638999431495167,7036,450,1697538.00,4779,67.92,6.75,-0.75
14-November-2020,240.00,243.60,238.70,242.15,241.452854122621564482,2365,148,571036.00,1781,75.31,4.90,2.15
13-November-2020,233.50,245.00,231.80,241.55,242.220178595228575236,7503,307,1817378.00,6675,88.96,13.20,8.05
12-November-2020,230.00,238.80,227.85,233.40,234.673501156377868706,22484,1312,5276399.00,15824,70.38,10.95,3.40
11-November-2020,224.20,228.00,221.85,225.90,224.586288416075650118,423,57,95000.00,316,74.70,6.15,1.70
10-November-2020,226.15,228.00,222.70,223.15,225.917703349282296650,1045,96,236084.00,586,56.08,5.30,-3.00
9-November-2020,224.95,228.00,224.25,225.15,226.256091734352603917,2093,151,473554.00,1453,69.42,3.75,0.20
6-November-2020,223.90,224.00,221.00,221.00,222.267673888255416191,3508,158,779715.00,3077,87.71,3.00,-2.90
5-November-2020,225.10,225.75,221.00,222.00,222.769713711702661978,3982,144,887069.00,3391,85.16,4.75,-3.10
4-November-2020,222.00,227.00,221.00,222.25,222.825964252116650987,2126,278,473728.00,1059,49.81,6.00,0.25
3-November-2020,223.65,228.90,220.15,220.80,223.010426540284360189,1055,144,235276.00,721,68.34,8.75,-2.85
2-November-2020,234.95,234.95,219.90,222.35,224.391360412637008381,3102,178,696062.00,1702,54.87,15.05,-12.60
30-October-2020,228.55,228.70,221.25,224.55,225.710997442455242966,1564,191,353012.00,744,47.57,7.45,-4.00
29-October-2020,223.00,225.85,218.65,225.80,223.527462946817785527,1147,119,256386.00,719,62.69,7.20,2.80
28-October-2020,232.00,232.90,225.20,226.00,230.751031636863823933,727,217,167756.00,558,76.75,7.70,-6.00
27-October-2020,234.10,234.10,229.80,232.45,231.201347305389221556,2672,208,617770.00,2119,79.30,4.30,-1.65
26-October-2020,233.30,239.90,229.60,233.80,235.158186076218863104,9394,674,2209076.00,6588,70.13,10.30,0.50
23-October-2020,209.90,233.50,209.90,231.50,227.928982725527831094,3126,240,712506.00,1918,61.36,23.60,21.60
22-October-2020,215.00,222.05,210.00,217.70,215.265020026702269692,1498,172,322467.00,1081,72.16,12.05,2.70
21-October-2020,222.50,222.50,215.70,219.15,220.141482194417709335,1039,103,228727.00,861,82.87,6.80,-3.35
20-October-2020,222.10,223.00,218.45,220.45,220.340239043824701195,1255,290,276527.00,1115,88.84,4.55,-1.65
19-October-2020,228.20,229.10,222.00,222.80,226.753472222222222222,576,71,130610.00,542,94.10,7.10,-5.40
16-October-2020,216.80,227.65,210.70,224.45,219.405949656750572082,2185,218,479402.00,1461,66.86,16.95,7.65
15-October-2020,224.00,224.65,216.20,218.20,219.996986136226642555,1659,190,364975.00,747,45.03,8.45,-5.80
14-October-2020,224.50,224.55,221.50,223.85,223.727781230577998756,1609,184,359978.00,1216,75.57,3.05,-0.65
13-October-2020,227.00,227.00,224.85,225.85,225.616358919578818861,6553,293,1478464.00,6394,97.57,2.15,-1.15
12-October-2020,221.60,228.70,219.70,227.90,224.639989837398373983,3936,366,884183.00,3323,84.43,9.00,6.30
9-October-2020,227.05,227.05,221.05,223.50,224.703253626029008232,2551,218,573218.00,1632,63.97,6.00,-3.55
8-October-2020,220.10,228.25,219.70,225.30,225.301099563187226992,6639,690,1495774.00,5610,84.50,8.55,5.20
7-October-2020,215.00,218.90,215.00,218.90,217.555555555555555555,720,53,156640.00,186,25.83,3.90,3.90
6-October-2020,210.25,220.15,209.60,215.85,214.625125628140703517,1990,142,427104.00,1755,88.19,10.55,5.60
5-October-2020,211.10,214.30,201.70,210.60,207.681747615879352406,4509,421,936437.00,2391,53.03,12.60,-0.50
1-October-2020,211.65,213.00,202.10,209.25,206.406307977736549165,3773,246,778771.00,2360,62.55,10.90,-2.40
30-September-2020,211.60,211.65,206.00,208.80,209.318133616118769883,943,172,197387.00,720,76.35,5.65,-2.80
29-September-2020,215.30,215.30,210.55,213.05,213.980544747081712062,1542,163,329958.00,713,46.24,4.75,-2.25
28-September-2020,209.00,219.00,208.30,216.85,213.260748959778085991,3605,223,768805.00,2652,73.56,10.70,7.85
25-September-2020,204.25,208.75,200.00,204.60,205.288141720896601590,2766,194,567827.00,1986,71.80,8.75,0.35
24-September-2020,206.95,206.95,200.00,202.60,202.062601626016260162,1230,146,248537.00,966,78.54,6.95,-4.35
