Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,24.00,24.00,24.00,24.00,24.000000000000000000,55,3,1320.00,55,100.00,0.00,0.00
4-January-2021,22.25,24.50,22.25,24.50,22.649802890932982917,1522,14,34473.00,1522,100.00,2.25,2.25
31-December-2020,23.40,23.40,22.25,23.40,22.491701244813278008,482,5,10841.00,482,100.00,1.15,0.00
30-December-2020,21.20,23.40,21.20,23.40,22.883018867924528301,1060,8,24256.00,1060,100.00,2.20,2.20
29-December-2020,22.75,24.55,22.30,22.30,22.730048859934853420,2456,19,55825.00,2456,100.00,2.25,-0.45
28-December-2020,25.00,25.80,23.40,23.45,24.907228915662650602,830,5,20673.00,830,100.00,2.40,-1.55
24-December-2020,24.60,24.60,22.30,24.60,24.499130434782608695,575,6,14087.00,575,100.00,2.30,0.00
23-December-2020,23.45,23.45,23.45,23.45,23.443478260869565217,115,1,2696.00,115,100.00,0.00,0.00
22-December-2020,22.35,22.35,22.35,22.35,22.340000000000000000,50,1,1117.00,50,100.00,0.00,0.00
21-December-2020,23.50,23.50,23.50,23.50,23.499555555555555555,1125,4,26437.00,1125,100.00,0.00,0.00
18-December-2020,25.00,27.00,24.70,24.70,25.227915194346289752,566,5,14279.00,566,100.00,2.30,-0.30
17-December-2020,24.40,26.90,24.40,26.00,24.552380952380952380,105,5,2578.00,105,100.00,2.50,1.60
16-December-2020,26.95,26.95,25.65,25.65,25.653374233128834355,326,4,8363.00,326,100.00,1.30,-1.30
15-December-2020,26.95,26.95,26.95,26.95,26.950000000000000000,100,1,2695.00,100,100.00,0.00,0.00
14-December-2020,28.35,28.35,28.35,28.35,28.348888888888888888,450,4,12757.00,450,100.00,0.00,0.00
11-December-2020,25.65,28.35,25.65,28.35,26.880434782608695652,92,5,2473.00,92,100.00,2.70,2.70
10-December-2020,27.50,28.60,27.00,27.00,27.089568743088831551,2713,25,73494.00,2713,100.00,1.60,-0.50
9-December-2020,27.50,28.40,27.50,28.40,27.760000000000000000,150,3,4164.00,150,100.00,0.90,0.90
8-December-2020,28.90,28.90,28.40,28.40,28.841176470588235294,340,2,9806.00,340,100.00,0.50,-0.50
7-December-2020,28.90,28.90,28.90,28.90,28.900000000000000000,50,1,1445.00,50,100.00,0.00,0.00
4-December-2020,29.55,29.55,29.00,29.00,29.260000000000000000,50,2,1463.00,50,100.00,0.55,-0.55
3-December-2020,30.50,30.50,30.50,30.50,30.500000000000000000,6,2,183.00,6,100.00,0.00,0.00
1-December-2020,31.20,31.20,31.20,31.20,31.000000000000000000,1,1,31.00,1,100.00,0.00,0.00
14-November-2020,31.20,31.20,31.20,31.20,31.200000000000000000,50,1,1560.00,50,100.00,0.00,0.00
5-November-2020,30.30,30.30,30.30,30.30,30.000000000000000000,1,1,30.00,1,100.00,0.00,0.00
29-October-2020,28.90,28.90,28.90,28.90,28.000000000000000000,1,1,28.00,1,100.00,0.00,0.00
16-October-2020,29.50,30.40,29.50,30.40,29.500000000000000000,6,3,177.00,6,100.00,0.90,0.90
15-October-2020,29.00,30.45,29.00,30.45,29.090909090909090909,22,3,640.00,22,100.00,1.45,1.45
14-October-2020,30.50,30.50,30.50,30.50,30.000000000000000000,1,1,30.00,1,100.00,0.00,0.00
12-October-2020,29.25,29.25,29.20,29.20,29.200113862795331625,3513,7,102580.00,3513,100.00,0.05,-0.05
9-October-2020,28.40,28.40,28.40,28.40,28.000000000000000000,1,1,28.00,1,100.00,0.00,0.00
8-October-2020,29.30,29.30,26.90,27.10,27.176470588235294117,34,7,924.00,34,100.00,2.40,-2.20
7-October-2020,28.15,28.15,28.15,28.15,28.000000000000000000,1,1,28.00,1,100.00,0.00,0.00
6-October-2020,26.90,26.90,26.90,26.90,26.000000000000000000,1,1,26.00,1,100.00,0.00,0.00
