Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,8.61,8.61,8.18,8.60,8.369794558578567462,1801,6,15074.00,1801,100.00,0.43,-0.01
4-January-2021,8.72,8.85,8.29,8.61,8.607517482517482517,1144,18,9847.00,794,69.41,0.56,-0.11
1-January-2021,8.50,8.78,7.96,8.72,8.760379596678529062,843,9,7385.00,838,99.41,0.82,0.22
31-December-2020,8.03,8.43,7.65,8.37,8.404021937842778793,547,16,4597.00,542,99.09,0.78,0.34
30-December-2020,8.20,8.20,8.02,8.03,8.028159457167090754,5895,12,47326.00,5895,100.00,0.18,-0.17
29-December-2020,8.45,8.50,8.44,8.44,8.454991816693944353,611,5,5166.00,611,100.00,0.06,-0.01
28-December-2020,9.28,9.28,8.40,8.45,8.448307410795974382,1093,16,9234.00,1063,97.26,0.88,-0.83
24-December-2020,9.13,9.13,8.27,8.84,8.977081741787624140,1309,15,11751.00,1283,98.01,0.86,-0.29
23-December-2020,9.10,9.10,8.70,8.70,8.698412698412698412,63,6,548.00,63,100.00,0.40,-0.40
22-December-2020,8.30,8.71,8.30,8.71,8.692015209125475285,526,7,4572.00,526,100.00,0.41,0.41
21-December-2020,7.94,8.30,7.94,8.30,8.000000000000000000,10,2,80.00,10,100.00,0.36,0.36
18-December-2020,7.57,7.94,7.57,7.94,7.842105263157894736,19,4,149.00,19,100.00,0.37,0.37
17-December-2020,8.19,8.19,7.57,7.57,7.959330143540669856,418,12,3327.00,388,92.82,0.62,-0.62
16-December-2020,8.13,8.13,7.50,7.96,7.998517420311341734,8094,17,64740.00,8094,100.00,0.63,-0.17
15-December-2020,7.75,7.75,7.13,7.75,7.135313531353135313,303,8,2162.00,303,100.00,0.62,0.00
14-December-2020,7.65,7.87,7.13,7.50,7.139072847682119205,453,11,3234.00,453,100.00,0.74,-0.15
11-December-2020,7.48,7.64,7.48,7.50,7.607843137254901960,408,6,3104.00,393,96.32,0.16,0.02
10-December-2020,7.87,7.87,7.87,7.87,7.862745098039215686,102,3,802.00,102,100.00,0.00,0.00
9-December-2020,7.37,7.50,7.29,7.50,7.382613636363636363,8800,12,64967.00,8800,100.00,0.21,0.13
8-December-2020,6.84,7.18,6.50,7.16,6.877065816178602493,3449,15,23719.00,2949,85.50,0.68,0.32
7-December-2020,6.85,6.85,6.21,6.84,6.230310262529832935,1676,13,10442.00,1665,99.34,0.64,-0.01
4-December-2020,6.52,6.53,5.93,6.53,5.940594059405940594,101,3,600.00,100,99.01,0.60,0.01
3-December-2020,6.22,6.22,6.22,6.22,6.220000000000000000,500,2,3110.00,500,100.00,0.00,0.00
2-December-2020,7.22,7.22,6.54,6.54,6.540008378718056137,2387,8,15611.00,2387,100.00,0.68,-0.68
27-November-2020,6.88,6.88,6.54,6.88,6.717791411042944785,326,8,2190.00,268,82.21,0.34,0.00
26-November-2020,6.88,7.60,6.88,6.88,6.921386306001690617,1183,14,8188.00,1108,93.66,0.72,0.00
25-November-2020,7.62,7.70,7.24,7.24,7.586996336996336996,1092,10,8285.00,852,78.02,0.46,-0.38
