Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,120.00,125.55,113.70,125.55,123.603485765144601795,88761,1299,10971169.00,61225,68.98,11.85,5.55
4-January-2021,119.60,119.60,115.00,119.60,118.947657285484598251,219553,1734,26115315.00,94173,42.89,4.60,0.00
1-January-2021,113.95,113.95,113.95,113.95,113.949818790075271814,3587,37,408738.00,3587,100.00,0.00,0.00
31-December-2020,104.30,108.55,104.30,108.55,108.261915280894905190,56587,525,6126217.00,38346,67.76,4.25,4.25
30-December-2020,102.80,111.70,102.80,103.40,105.032483328852723445,152509,2987,16018399.00,91568,60.04,8.90,0.60
29-December-2020,108.25,108.25,104.90,108.20,108.186144940521804741,84821,250,9176457.00,80682,95.12,3.35,-0.05
28-December-2020,103.10,103.10,103.10,103.10,103.099969706149651620,3301,25,340333.00,3301,100.00,0.00,0.00
24-December-2020,98.20,98.20,95.95,98.20,98.137653518277705533,69210,246,6792107.00,55751,80.55,2.25,0.00
23-December-2020,90.00,93.55,88.50,93.55,92.209991793188346327,29244,443,2696589.00,24757,84.66,5.05,3.55
22-December-2020,89.50,92.90,84.25,89.10,88.558256707393878322,47634,912,4218384.00,27583,57.91,8.65,-0.40
21-December-2020,86.30,91.00,84.15,88.60,89.455360725322220736,142061,1334,12708118.00,63317,44.57,6.85,2.30
18-December-2020,86.75,87.50,83.00,86.70,84.908869430976674626,41457,691,3520067.00,22832,55.07,4.50,-0.05
17-December-2020,91.30,91.30,86.45,86.45,87.715027187345526445,32368,396,2839160.00,17576,54.30,4.85,-4.85
16-December-2020,90.85,91.50,89.05,91.00,91.024359942127445429,63588,346,5788057.00,27760,43.66,2.45,0.15
15-December-2020,87.15,87.15,85.00,87.15,86.877570406794814483,17896,274,1554761.00,14647,81.85,2.15,0.00
14-December-2020,81.00,83.00,79.00,83.00,81.769346130773845230,20004,265,1635714.00,12299,61.48,4.00,2.00
11-December-2020,79.35,79.75,78.55,79.05,79.150958466453674121,2504,82,198194.00,1324,52.88,1.20,-0.30
10-December-2020,79.95,80.50,75.15,78.75,77.324286277380483135,17759,238,1373202.00,15680,88.29,5.35,-1.20
9-December-2020,81.45,82.00,78.95,79.10,80.094632882700558568,12353,203,989409.00,6883,55.72,3.05,-2.35
8-December-2020,81.00,81.40,78.40,79.95,79.803529728758756960,22268,308,1777065.00,11481,51.56,3.00,-1.05
7-December-2020,80.25,80.95,78.40,79.80,79.939798074665414416,21295,324,1702318.00,14282,67.07,2.55,-0.45
4-December-2020,80.35,81.00,78.50,78.80,79.225362538272601864,29721,161,2354657.00,20960,70.52,2.50,-1.55
3-December-2020,80.80,80.85,78.50,78.85,79.139727511998761418,12918,154,1022327.00,7141,55.28,2.35,-1.95
