,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,468.700012,469.0,411.609985,416.0,416.0,10390500.0
1,2016-01-08,419.839996,463.51001,399.140015,454.299988,454.299988,11740500.0
2,2016-01-15,441.149994,478.369995,441.149994,461.200012,461.200012,8549100.0
3,2016-01-22,466.220001,466.329987,431.519989,453.079987,453.079987,6108100.0
4,2016-01-29,455.76001,484.200012,440.410004,470.899994,470.899994,11885100.0
5,2016-02-05,469.850006,475.589996,435.869995,461.390015,461.390015,6369800.0
6,2016-02-12,466.109985,518.859985,465.459991,515.929993,515.929993,5654200.0
7,2016-02-19,512.200012,530.849976,497.51001,505.329987,505.329987,6515300.0
8,2016-02-26,507.0,530.130005,493.109985,524.289978,524.289978,5599900.0
9,2016-03-04,529.289978,542.5,492.5,503.679993,503.679993,8149200.0
10,2016-03-11,507.369995,521.51001,470.799988,471.589996,471.589996,9079800.0
11,2016-03-18,469.980011,481.630005,452.779999,471.369995,471.369995,7070400.0
12,2016-03-25,474.0,480.619995,453.869995,470.970001,470.970001,4150200.0
13,2016-04-01,459.329987,473.170013,444.440002,450.600006,450.600006,4571700.0
14,2016-04-08,451.25,460.98999,434.059998,456.01001,456.01001,4959800.0
15,2016-04-15,457.140015,469.980011,447.589996,448.140015,448.140015,4068600.0
16,2016-04-22,452.149994,453.98999,415.0,423.399994,423.399994,8931800.0
17,2016-04-29,422.890015,447.459991,417.75,435.0,435.0,4503700.0
18,2016-05-06,434.0,461.299988,426.029999,457.01001,457.01001,5075400.0
19,2016-05-13,457.01001,464.899994,438.529999,450.640015,450.640015,4282900.0
20,2016-05-20,448.899994,467.0,439.809998,452.029999,452.029999,4459500.0
21,2016-05-27,452.5,453.529999,431.309998,443.48999,443.48999,3809500.0
22,2016-06-03,440.369995,447.079987,415.149994,415.790009,415.790009,4808200.0
23,2016-06-10,412.559998,413.869995,384.769989,393.549988,393.549988,7316300.0
24,2016-06-17,395.5,413.019989,387.890015,408.890015,408.890015,5702500.0
25,2016-06-24,397.25,413.570007,386.700012,402.76001,402.76001,5684300.0
26,2016-07-01,400.0,405.290009,386.100006,390.779999,390.779999,4646500.0
27,2016-07-08,393.0,422.179993,392.100006,417.980011,417.980011,5376500.0
28,2016-07-15,409.630005,420.619995,402.26001,418.070007,418.070007,5634500.0
29,2016-07-22,414.649994,444.130005,412.190002,430.549988,430.549988,8292300.0
30,2016-07-29,428.690002,430.529999,394.339996,397.200012,397.200012,4642500.0
31,2016-08-05,399.450012,404.76001,391.200012,398.220001,398.220001,3502000.0
32,2016-08-12,396.709991,405.26001,392.570007,394.910004,394.910004,4030300.0
33,2016-08-19,393.76001,416.899994,387.01001,413.339996,413.339996,5804300.0
34,2016-08-26,413.440002,426.619995,410.640015,414.679993,414.679993,5362200.0
35,2016-09-02,414.25,441.200012,406.019989,436.309998,436.309998,6554500.0
36,2016-09-09,434.829987,436.26001,411.579987,413.959991,413.959991,4769200.0
37,2016-09-16,413.059998,414.890015,395.109985,410.160004,410.160004,5728000.0
38,2016-09-23,409.179993,425.5,408.589996,420.730011,420.730011,4481100.0
